OrderNumber,OrderType,OrderStatus,OrderDate,ShipDate,DueDate,BillDate,EtaArrivalDate,EarliestShipDate,LatestShipDate,SignatureFlag,CustomerCode,CustomerName,Terms,TermsDays,Currency,SubTotalAmount,SalesAmount,TotalAmount,TaxableAmount,NonTaxableAmount,TaxRate,TaxAmount,DiscountRate,DiscountAmount,ShippingAmount,ShippingTaxAmount,MiscAmount,MiscTaxAmount,ChargeAndAllowanceAmount,ChannelAmount,PaidAmount,CreditAmount,Balance,DepositAmount,SalesRep,SalesRep2,SalesRep3,SalesRep4,CommissionRate,CommissionRate2,CommissionRate3,CommissionRate4,TotalWeight,ActualWeight,CancelCode,SalesDivision,CustomerSource,Fulfillment Status,Financial Status,AmountRefunded,IsEdi,ShippingCarrier,ShippingClass,MainTrackingNumber,MainReturnTrackingNumber,ChannelNum,ChannelAccountNum,ChannelOrderID,SecondaryChannelOrderID,ShippingAccount,RefNum,CustomerPoNum,Carton,EndBuyerUserID,EndBuyerName,EndBuyerEmail,ShipToName,ShipToFirstName,ShipToLastName,ShipToCompany,ShipToAddressLine1,ShipToAddressLine2,ShipToAddressLine3,ShipToCity,ShipToState,ShipToPostalCode,ShipToCounty,ShipToCountry,ShipToEmail,ShipToDaytimePhone,BillToName,BillToCompany,BillToAddressLine1,BillToAddressLine2,BillToAddressLine3,BillToCity,BillToState,BillToPostalCode,BillToCounty,BillToCountry,BillToEmail,BillToDaytimePhone,Notes,ShippingCode,WarehouseCode,ShipmentID,DepartmentCode,DivisionCode,Seq,ItemDate,SKU,UPC,CustomerSKU,SKUTitle,LotNum,Description,UOM,PackType,PackQty,PackPrice,OrderPack,ShipPack,CancelledPack,OpenPack,OrderQty,ShipQty,CancelledQty,OpenQty,PriceRule,Price,DiscountPrice,ExtAmount,ItemTotalAmount,ShipAmount,CancelledAmount,OpenAmount,Stockable,Taxable,Costable,IsProfit,LotInDate,LotExpDate,DBChannelOrderLineRowID,ItemShippingAmount,ShippingCost,ItemTaxAmount,ItemShippingTaxAmount,ItemDiscountRate,ItemDiscountAmount,ItemNotes,ItemCancelCode,Lineitem fulfillment status,Lineitem taxable,ChannelItemID,EAN,MPN,ExternalBarcode,PodInfo
20260312-7,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,JCPenney,JCPenney,,,USD,63.91,,64.15,,,0,0.00,0,0.00,0.24,,,,,,0,,64.15,,Rina Patel,Dana Ross,,,,,,,,,,,, , ,,,,,,,30007,10575,30007-260312-000007,,,,,,,,,JCPenney,Alex,Reed,JCPenney,San Diego Warehouse,Dock 1,Primary Ship Address,San Diego,CA,92106,San Diego,USA,jcpenney@customers.example.com,(619) 555-2201,JCPenney,JCPenney,San Diego Billing Office,Suite 100,Primary Bill Address,San Diego,CA,92105,San Diego,USA,jcpenney@customers.example.com,(619) 555-2201,,,,,,,2,2026-03-12,F13031C-1742VNTGDM-28-STD,,,Cayden Vintage Beujolias Corduroy Skinny Jeans,,,EA,,,,,,,,1,0,0,1,,30.43,,30.43,30.43,0.00,0.00,30.43,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-8,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Walmart-eComm,Walmart eComm,,,USD,115.42,,117.94,,,0,0.00,0,0.00,2.52,,,,,,0,,117.94,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10002,10566,10002-260312-000008,,,,,,,,,Walmart eComm,Morgan,Lee,Walmart eComm,San Francisco Warehouse,Dock 1,Primary Ship Address,San Francisco,CA,94109,San Francisco,USA,walmart-ecomm@customers.example.com,(415) 555-2901,Walmart eComm,Walmart eComm,San Francisco Billing Office,Suite 100,Primary Bill Address,San Francisco,CA,94108,San Francisco,USA,walmart-ecomm@customers.example.com,(415) 555-2901,,,,,,,1,2026-03-12,ADELINE-02-CAMEL-10,,,WOVEN SLIDE SANDAL,,,EA,,,,,,,,1,0,0,1,,26.65,,26.65,26.65,0.00,0.00,26.65,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-8,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Walmart-eComm,Walmart eComm,,,USD,115.42,,117.94,,,0,0.00,0,0.00,2.52,,,,,,0,,117.94,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10002,10566,10002-260312-000008,,,,,,,,,Walmart eComm,Morgan,Lee,Walmart eComm,San Francisco Warehouse,Dock 1,Primary Ship Address,San Francisco,CA,94109,San Francisco,USA,walmart-ecomm@customers.example.com,(415) 555-2901,Walmart eComm,Walmart eComm,San Francisco Billing Office,Suite 100,Primary Bill Address,San Francisco,CA,94108,San Francisco,USA,walmart-ecomm@customers.example.com,(415) 555-2901,,,,,,,2,2026-03-12,FA13512DM-1847DPOCN-30-30,,,Angie Stud Bling Pocket Low Rise Skinny Jeans,,,EA,,,,,,,,1,0,0,1,,50.23,,50.23,50.23,0.00,0.00,50.23,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-8,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Walmart-eComm,Walmart eComm,,,USD,115.42,,117.94,,,0,0.00,0,0.00,2.52,,,,,,0,,117.94,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10002,10566,10002-260312-000008,,,,,,,,,Walmart eComm,Morgan,Lee,Walmart eComm,San Francisco Warehouse,Dock 1,Primary Ship Address,San Francisco,CA,94109,San Francisco,USA,walmart-ecomm@customers.example.com,(415) 555-2901,Walmart eComm,Walmart eComm,San Francisco Billing Office,Suite 100,Primary Bill Address,San Francisco,CA,94108,San Francisco,USA,walmart-ecomm@customers.example.com,(415) 555-2901,,,,,,,3,2026-03-12,ADELINE-02-NUDE-B12,,,WOVEN SLIDE SANDAL,,,EA,,,,,,,,2,0,0,2,,19.27,,38.54,38.54,0.00,0.00,38.54,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-9,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,105.10,,105.55,,,0,0.00,0,0.00,0.45,,,,,,0,,105.55,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000009,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,1,2026-03-12,CORA-01-CAME-6,,,CROSS FRONT SANDAL,,,EA,,,,,,,,2,0,0,2,,14.71,,29.42,29.42,0.00,0.00,29.42,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-9,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,105.10,,105.55,,,0,0.00,0,0.00,0.45,,,,,,0,,105.55,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000009,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,2,2026-03-12,CAMILA-06-GREEN-12,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,1,0,0,1,,25.18,,25.18,25.18,0.00,0.00,25.18,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-9,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,105.10,,105.55,,,0,0.00,0,0.00,0.45,,,,,,0,,105.55,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000009,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,3,2026-03-12,F13031C-1742VNTGBJ-30-STD,,,Cayden Vintage Beujolias Corduroy Skinny Jeans,,,EA,,,,,,,,2,0,0,2,,25.25,,50.50,50.50,0.00,0.00,50.50,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-10,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,143.79,,145.68,,,0,0.00,0,0.00,1.89,,,,,,0,,145.68,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000010,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,1,2026-03-12,CORA-01-BLK-7.5,,,CROSS FRONT SANDAL,,,EA,,,,,,,,1,0,0,1,,33.55,,33.55,33.55,0.00,0.00,33.55,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-10,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,143.79,,145.68,,,0,0.00,0,0.00,1.89,,,,,,0,,145.68,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000010,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,2,2026-03-12,FA13501DM-RINSEWSFT-29-30,,,Maya Basic Dark Handsand Wash Midrise Skinny Jeans,,,EA,,,,,,,,2,0,0,2,,24.72,,49.44,49.44,0.00,0.00,49.44,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-10,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Veeqo-Amazon,Veeqo Amazon,,,USD,143.79,,145.68,,,0,0.00,0,0.00,1.89,,,,,,0,,145.68,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,10016,10579,10016-260312-000010,,,,,,,,,Veeqo Amazon,Jamie,Clark,Veeqo Amazon,Irvine Warehouse,Dock 1,Primary Ship Address,Irvine,CA,92603,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,Veeqo Amazon,Veeqo Amazon,Irvine Billing Office,Suite 100,Primary Bill Address,Irvine,CA,92602,Orange,USA,veeqo-amazon@customers.example.com,(949) 555-1101,,,,,,,3,2026-03-12,CAMILA-06-NUDE-10,,,COSS FRONT SLIP ON SLIDES,,,EA,,,,,,,,1,0,0,1,,60.80,,60.80,60.80,0.00,0.00,60.80,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-11,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Squarespace,Squarespace,,,USD,87.92,,91.27,,,0,0.00,0,0.00,3.35,,,,,,0,,91.27,,Rina Patel,Sam Lee,,,,,,,,,,,, , ,,,,,,,20006,10582,20006-260312-000011,,,,,,,,,Squarespace,Jamie,Clark,Squarespace,San Diego Warehouse,Dock 1,Primary Ship Address,San Diego,CA,92108,San Diego,USA,squarespace@customers.example.com,(619) 555-2701,Squarespace,Squarespace,San Diego Billing Office,Suite 100,Primary Bill Address,San Diego,CA,92107,San Diego,USA,squarespace@customers.example.com,(619) 555-2701,,,,,,,1,2026-03-12,ADELINE-03-BLUE-A12,,,BUCKLE FRONT FLAT SANDALS,,,EA,,,,,,,,2,0,0,2,,19.42,,38.84,38.84,0.00,0.00,38.84,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-11,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Squarespace,Squarespace,,,USD,87.92,,91.27,,,0,0.00,0,0.00,3.35,,,,,,0,,91.27,,Rina Patel,Sam Lee,,,,,,,,,,,, , ,,,,,,,20006,10582,20006-260312-000011,,,,,,,,,Squarespace,Jamie,Clark,Squarespace,San Diego Warehouse,Dock 1,Primary Ship Address,San Diego,CA,92108,San Diego,USA,squarespace@customers.example.com,(619) 555-2701,Squarespace,Squarespace,San Diego Billing Office,Suite 100,Primary Bill Address,San Diego,CA,92107,San Diego,USA,squarespace@customers.example.com,(619) 555-2701,,,,,,,2,2026-03-12,FA13512DM-1847DPOCN-28-30,,,Angie Stud Bling Pocket Low Rise Skinny Jeans,,,EA,,,,,,,,4,0,0,4,,12.27,,49.08,49.08,0.00,0.00,49.08,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-12,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Magento,Magento,,,USD,46.59,,63.85,,,0,0.00,0,0.00,17.26,,,,,,0,,63.85,,Sam Lee,Rina Patel,,,,,,,,,,,, , ,,,,,,,20003,10581,20003-260312-000012,,,,,,,,,Magento,Morgan,Lee,Magento,Los Angeles Warehouse,Dock 1,Primary Ship Address,Los Angeles,CA,90008,Los Angeles,USA,magento@customers.example.com,(213) 555-2501,Magento,Magento,Los Angeles Billing Office,Suite 100,Primary Bill Address,Los Angeles,CA,90007,Los Angeles,USA,magento@customers.example.com,(213) 555-2501,,,,,,,1,2026-03-12,173451-1183CITIZEN-21-STD,,,Susan Stretch Denim Skinny Jeans Medium Blue 5 Pocket Wash,,,EA,,,,,,,,3,0,0,3,,15.53,,46.59,46.59,0.00,0.00,46.59,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
20260312-13,1,0,2026-03-12,2026-03-14,2026-04-11,2026-03-12,,,,,Etsy-VS,Etsy VS,,,USD,68.26,,69.63,,,0,0.00,0,0.00,1.37,,,,,,0,,69.63,,Rina Patel,Dana Ross,,,,,,,,,,,, , ,,,,,,,10008,10572,10008-260312-000013,,,,,,,,,Etsy VS,Jamie,Clark,Etsy VS,Los Angeles Warehouse,Dock 1,Primary Ship Address,Los Angeles,CA,90004,Los Angeles,USA,etsy-vs@customers.example.com,(213) 555-1501,Etsy VS,Etsy VS,Los Angeles Billing Office,Suite 100,Primary Bill Address,Los Angeles,CA,90003,Los Angeles,USA,etsy-vs@customers.example.com,(213) 555-1501,,,,,,,1,2026-03-12,AVIANA-06-WHITE-8,,,FUR SLIPPER,,,EA,,,,,,,,2,0,0,2,,19.37,,38.74,38.74,0.00,0.00,38.74,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,
